Cohort,Block,Position,Pop,Rep,Germ date,Notes
1,2,C_20,STDR2,3,2020-09-27,
1,2,D_01,STBR3,11,,
1,2,D_02,STIN,14,2020-10-04,
1,2,D_03,STDI,12,2020-09-22,
1,2,D_04,STTO-BH,16,2020-09-21,
1,2,D_05,STGL1,11,,
1,2,D_06,STDI,6,2020-09-20,
1,2,D_07,CAAN1,12,,
1,2,D_08,CAAM-GB,5,,
1,2,D_09,STGL1,13,2020-09-23,
1,2,D_10,STTO-BH,5,2020-09-21,
1,2,D_11,STPO1,13,,
1,2,D_12,STGL1,15,,
1,2,D_13,STBR3,2,2020-09-28,
1,2,D_14,CAAM-GB,9,,
1,2,D_15,CAAN2,5,,
1,2,D_16,STPO1,2,2020-09-21,
1,2,D_17,STBR3,14,,
1,2,D_18,STDR2,2,2020-09-28,
1,2,D_19,CAAN2,2,,
1,2,D_20,STIN,5,,
1,2,E_01,STIN,4,,
1,2,E_02,CAIN4,6,2020-09-23,
1,2,E_03,STIN,1,2020-09-25,
1,2,E_04,STBR3,8,2020-09-24,
1,2,E_05,STTO-BH,3,2020-09-21,
1,2,E_06,STDR2,5,2020-09-24,
1,2,E_07,STDR2,11,,
1,2,E_08,CAAN1,14,,
1,2,E_09,CAIN3,2,2020-09-21,
1,2,E_10,CAAN2,8,,
1,2,E_11,STIN,13,2020-09-21,
1,2,E_12,CAAN2,14,,
1,2,E_13,CAAN1,7,,
1,2,E_14,STGL1,4,,
1,2,E_15,CAAN1,10,,
1,2,E_16,STTO-BH,11,,
1,2,E_17,CAIN4,3,2020-09-22,
1,2,E_18,CAIN3,6,2020-09-22,
1,2,E_19,STPO1,1,2020-09-22,
1,2,E_20,CAIN4,13,2020-09-21,
1,2,F_01,STTO-BH,15,2020-09-20,
1,2,F_02,STDI,15,2020-09-20,
1,2,F_03,CAAN1,2,,
1,2,F_04,CAAN1,16,,
1,2,F_05,blank,3,,iButton in this blank 
1,2,F_06,STIN,8,2020-09-22,
1,2,F_07,CAIN3,15,2020-09-26,
1,2,F_08,STDI,1,2020-09-21,
1,2,F_09,STDR2,15,2020-09-23,
1,2,F_10,STBR3,12,2020-09-23,
1,2,F_11,STIN,3,,
1,2,F_12,STBR3,16,2020-09-24,
1,2,F_13,STDI,2,,
1,2,F_14,CAAN1,9,,
1,2,F_15,STDI,7,,
1,2,F_16,STBR3,9,2020-09-24,
1,2,F_17,CAAN2,11,,
1,2,F_18,STDR2,13,2020-09-22,
1,2,F_19,STIN,6,2020-09-21,
1,2,F_20,STIN,9,,
1,2,G_01,STGL1,14,2020-11-19,
1,2,G_02,CAIN3,3,2020-09-23,
1,2,G_03,STDR2,8,2020-09-24,
1,2,G_04,STBR3,7,2020-09-23,
1,2,G_05,CAIN4,14,,
1,2,G_06,CAAM-GB,3,,
1,2,G_07,STTO-BH,6,2020-09-21,
1,2,G_08,STTO-BH,8,2020-09-20,
1,2,G_09,CAIN3,11,,
1,2,G_10,STDI,5,,
1,2,G_11,STIN,10,,
1,2,G_12,CAAM-GB,8,,
1,2,G_13,CAIN4,16,2020-09-22,
1,2,G_14,CAAM-GB,6,2020-09-26,
1,2,G_15,STPO1,7,2020-09-21,two germinates
1,2,G_16,CAIN3,16,2020-09-22,
1,2,G_17,STGL1,12,2020-09-27,
1,2,G_18,STDI,16,2020-09-22,
1,2,G_19,STPO1,8,2020-09-21,
1,2,G_20,CAAM-GB,1,,
1,2,H_01,CAAM-GB,12,,
1,2,H_02,STPO1,3,2020-09-21,
1,2,H_03,CAAN2,9,,
1,2,H_04,STDI,8,,
1,2,H_05,CAAM-GB,16,,
1,2,H_06,CAAN1,5,,
1,2,H_07,STTO-BH,1,2020-09-20,
1,2,H_08,CACO1,2,2020-10-02,
1,2,H_09,blank,4,,
1,2,H_10,STBR3,4,2020-09-25,
1,2,H_11,STGL1,16,,
1,2,H_12,CAIN4,15,2020-09-23,
1,2,H_13,STBR3,10,2020-09-26,
1,2,H_14,CAIN3,13,2020-09-21,
1,2,H_15,CAAN2,15,2020-10-22,
1,2,H_16,STTO-BH,4,2020-09-21,
1,2,H_17,STDR2,14,2020-09-23,
1,2,H_18,STPO1,16,,
1,2,H_19,CACO1,3,,
1,2,H_20,CAAN1,6,,seed may have bounced out 
1,2,I_01,STGL1,1,2020-09-21,
1,2,I_02,STPO1,9,,
1,2,I_03,STDI,11,2020-09-21,
1,2,I_04,CAAM-GB,14,,
1,2,I_05,STGL1,6,,
1,2,I_06,CAAN2,13,,
1,2,I_07,CAIN3,9,2020-09-22,
1,2,I_08,CAAM-GB,10,,
1,2,I_09,CAAN2,4,,
1,2,I_10,STGL1,8,,
1,2,I_11,blank,2,,
1,2,I_12,CAAM-GB,7,2020-10-16,
1,2,I_13,CAIN4,7,,
1,2,I_14,STDI,9,,
1,2,I_15,CAAM-GB,4,,
1,2,I_16,CAAM-GB,2,,
1,2,I_17,CAIN3,12,2020-09-23,
1,2,I_18,CAIN3,1,2020-09-20,
1,2,I_19,STTO-BH,10,2020-09-20,
1,2,I_20,STBR3,13,2020-09-23,
1,2,J_01,CAAN2,12,2020-09-26,
1,2,J_02,CAIN4,4,,
1,2,J_03,CAIN3,14,2020-09-21,
1,2,J_04,STGL1,9,,
1,2,J_05,STDR2,4,2020-11-04,
1,2,J_06,STIN,15,2020-09-21,
1,2,J_07,STTO-BH,7,2020-09-20,
1,2,J_08,CAAN1,15,,
1,2,J_09,CAIN4,12,,
1,2,J_10,CAIN3,8,,
1,2,J_11,STGL1,7,,
1,2,J_12,STDR2,7,2020-10-05,
1,2,J_13,CAAN2,16,,
1,2,J_14,CAAN1,11,,
1,2,J_15,CAIN3,10,2020-09-22,
1,2,J_16,STDI,4,2020-09-20,2 seedling 9/24/20
1,2,J_17,CAIN3,4,2020-09-21,
1,2,J_18,STGL1,5,2020-09-22,
1,2,J_19,STGL1,3,,
1,2,J_20,CAAN1,13,,
1,3,A_01,STBR3,2,,
1,3,A_02,CAIN4,16,,
1,3,A_03,STGL1,12,,
1,3,A_04,STGL1,8,2020-09-22,
1,3,A_05,CAAM-GB,10,,
1,3,A_06,CAAM-GB,7,,
1,3,A_07,STDI,7,,
1,3,A_08,STPO1,8,2020-10-15,
1,3,A_09,STTO-BH,14,2020-09-20,
1,3,A_10,CAAM-GB,13,,
1,3,A_11,STIN,8,2020-09-21,
1,3,A_12,STGL1,13,2020-09-23,
1,3,A_13,CAIN3,6,2020-09-23,
1,3,A_14,CAIN4,14,,
1,3,A_15,STDR2,6,2020-09-24,
1,3,A_16,CAIN3,15,2020-09-24,
1,3,A_17,CAAN1,9,2020-09-20,
1,3,A_18,STIN,12,2020-09-22,
1,3,A_19,STDR2,2,2020-09-29,
1,3,A_20,CAAM-GB,5,,
1,3,B_01,CAIN3,16,2020-09-26,
1,3,B_02,CAIN3,4,2020-09-24,
1,3,B_03,STPO1,5,,
1,3,B_04,CAIN3,10,2020-09-23,
1,3,B_05,CAIN3,1,2020-09-23,
1,3,B_06,STDR2,1,2020-09-26,
1,3,B_07,STIN,5,2020-09-20,
1,3,B_08,CACO1,3,2020-09-22,
1,3,B_09,CAAN1,8,,
1,3,B_10,CAAN2,9,,
1,3,B_11,CAAN2,8,2020-09-21,
1,3,B_12,STIN,2,2020-09-22,
1,3,B_13,STPO1,13,2020-09-21,
1,3,B_14,CAAM-GB,1,,
1,3,B_15,STDI,15,,
1,3,B_16,CAAM-GB,4,2020-09-24,
1,3,B_17,CACO1,2,,
1,3,B_18,CAAN1,4,,
1,3,B_19,STDR2,4,2020-09-22,
1,3,B_20,STBR3,16,2020-09-30,
1,3,C_01,STDI,9,2020-09-20,
1,3,C_02,CAIN4,15,2020-09-24,
1,3,C_03,CAAM-GB,14,,
1,3,C_04,CAAN1,16,2020-09-21,2 seeds planted (2)
1,3,C_05,STPO1,4,2020-10-07,
1,3,C_06,STPO1,16,2020-09-21,
1,3,C_07,CACO1,4,2020-09-20,
1,3,C_08,CAAN1,3,,
1,3,C_09,STBR3,1,2020-09-22,
1,3,C_10,STTO-BH,5,2020-09-21,
1,3,C_11,STBR3,15,2020-09-26,
1,3,C_12,CAAN1,1,,
1,3,C_13,STDI,12,2020-09-20,
1,3,C_14,STDI,1,,
1,3,C_15,CAIN3,9,2020-09-22,
1,3,C_16,CAIN4,1,2020-09-22,
1,3,C_17,CAAN2,14,,
1,3,C_18,CAIN3,12,2020-09-22,
1,3,C_19,CAAM-GB,3,,
1,3,C_20,STDR2,9,2020-09-27,
1,3,D_01,CAAM-GB,15,,
1,3,D_02,CAAM-GB,9,,
1,3,D_03,CAIN4,7,2020-09-26,
1,3,D_04,CAIN4,2,,
1,3,D_05,STTO-BH,12,2020-09-20,
1,3,D_06,STIN,1,,
1,3,D_07,STTO-BH,9,2020-09-21,
1,3,D_08,CAAN1,2,,
1,3,D_09,CAIN3,8,2020-09-24,
1,3,D_10,CAAN1,11,,
1,3,D_11,STDI,8,,
1,3,D_12,STGL1,11,2020-09-22,
1,3,D_13,STPO1,7,2020-09-21,
1,3,D_14,STGL1,6,2020-09-21,"10/30 new, unknown, no label"
1,3,D_15,blank,3,,
1,3,D_16,STTO-BH,2,2020-09-20,
1,3,D_17,STBR3,5,2020-09-23,
1,3,D_18,CAIN4,5,,
1,3,D_19,STDI,13,,
1,3,D_20,STBR3,13,2020-11-20,
1,3,E_01,CAAN1,15,,seed bounced out (?)
1,3,E_02,STDR2,8,2020-10-10,
1,3,E_03,STDI,3,,
1,3,E_04,STDR2,13,2020-09-23,
1,3,E_05,CAIN4,6,,
1,3,E_06,STGL1,2,2020-09-23,
1,3,E_07,STIN,13,,
1,3,E_08,STPO1,3,2020-10-06,2 seeds?
1,3,E_09,CAIN3,14,2020-09-20,
1,3,E_10,CAIN4,10,2020-09-23,
1,3,E_11,STBR3,9,,
1,3,E_12,STPO1,10,2020-09-22,
1,3,E_13,CAIN4,9,,
1,3,E_14,CAIN3,3,2020-09-23,
1,3,E_15,STTO-BH,4,2020-09-20,second seedling 10/6/20 removed
1,3,E_16,CAIN3,11,2020-09-21,
1,3,E_17,STGL1,10,2020-09-23,
1,3,E_18,CAAN2,12,,
1,3,E_19,STTO-BH,10,2020-09-22,
