"","Cohort","Block","Position","Pop","Rep","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","mean.Temp","mean.Min.Temp","mean.Max.Temp","Topt"
"74",1,1,"D_14","STPO1",15,2020-09-30,"",2020-09-17,274,261,13,16,29,13,1,1,21.3210256410256,14.8571428571429,30.3571428571429,21.46575374
"75",1,1,"D_15","CAIN3",3,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.61272267
"76",1,1,"D_16","CAAN1",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"77",1,1,"D_17","blank",4,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,NA
"78",1,1,"D_18","STPO1",7,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"79",1,1,"D_19","CAAM-GB",5,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"80",1,1,"D_20","STTO-BH",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,21.4389966
"81",1,1,"E_01","STBR3",8,2020-10-07,"",2020-09-17,281,261,20,16,36,20,1,1,20.8615096693699,14.4761904761905,29.6904761904762,36.4851957
"82",1,1,"E_02","CAAM-GB",11,2020-10-12,"10/14 *no toothpick, but new germinant seen",2020-09-17,286,261,25,16,41,25,1,1,19.8869723104857,13.8653846153846,28.9230769230769,12.17705163
"83",1,1,"E_03","CAAN1",12,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"84",1,1,"E_04","STDI",8,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,29.11518968
"85",1,1,"E_05","CAAN2",4,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,30.49216534
"86",1,1,"E_06","CAAM-GB",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"87",1,1,"E_07","STIN",4,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.92210573
"88",1,1,"E_08","STGL1",1,2020-10-04,"",2020-09-17,278,261,17,16,33,17,1,1,21.2751385589865,14.8888888888889,29.8333333333333,25.95117404
"89",1,1,"E_09","CAAN2",7,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,30.49216534
"90",1,1,"E_10","STDR2",1,2020-10-09,"",2020-09-17,283,261,22,16,38,22,1,1,20.2390124796527,14.1521739130435,29.1086956521739,26.75027797
"91",1,1,"E_11","CAIN4",1,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,36.46572848
"92",1,1,"E_12","STIN",10,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,25.92210573
"93",1,1,"E_13","STTO-BH",10,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.4389966
"94",1,1,"E_14","STPO1",16,2020-09-20,"cots not open 9/20",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.46575374
"95",1,1,"E_15","STTO-BH",8,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.4389966
"96",1,1,"E_16","STGL1",3,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,25.95117404
"97",1,1,"E_17","STDR2",15,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,26.75027797
"98",1,1,"E_18","CAIN4",7,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,36.46572848
"99",1,1,"E_19","CAIN3",2,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,30.61272267
"100",1,1,"E_20","CAIN4",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,36.46572848
"101",1,1,"F_01","STIN",9,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.92210573
"102",1,1,"F_02","STPO1",10,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"103",1,1,"F_03","CAIN3",9,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,30.61272267
"104",1,1,"F_04","CAIN4",3,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,36.46572848
"105",1,1,"F_05","STGL1",10,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,25.95117404
"106",1,1,"F_06","STDI",9,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,29.11518968
"107",1,1,"F_07","CAIN4",16,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,36.46572848
"108",1,1,"F_08","CACO1",3,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,25.45463261
"109",1,1,"F_09","STTO-BH",2,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.4389966
"110",1,1,"F_10","STBR3",3,2020-09-26,"",2020-09-17,270,261,9,16,25,9,1,1,20.5043668122271,14.4,29.1,36.4851957
"111",1,1,"F_11","CAAN2",10,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"112",1,1,"F_12","CAAM-GB",7,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"113",1,1,"F_13","STTO-BH",16,2020-09-21,"2 seeds may have been planted",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.4389966
"114",1,1,"F_14","STPO1",2,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"115",1,1,"F_15","STDR2",6,2020-10-05,"",2020-09-17,279,261,18,16,34,18,1,1,21.2347762289068,14.7631578947368,29.921052631579,26.75027797
"116",1,1,"F_16","CAIN3",15,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,30.61272267
"117",1,1,"F_17","CAIN3",6,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,30.61272267
"118",1,1,"F_18","STGL1",7,2020-09-27,"",2020-09-17,271,261,10,16,26,10,1,1,20.8715415019763,14.7272727272727,29.4545454545455,25.95117404
"119",1,1,"F_19","CAIN3",7,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,30.61272267
"120",1,1,"F_20","CAAM-GB",15,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"121",1,1,"G_01","STIN",11,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.92210573
"122",1,1,"G_02","CAAN2",1,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"123",1,1,"G_03","STDI",12,2020-09-20,"2 seedlings",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,29.11518968
"124",1,1,"G_04","STDI",16,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,29.11518968
"125",1,1,"G_05","CAAN2",16,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"126",1,1,"G_06","CAAN1",10,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"127",1,1,"G_07","STBR3",11,2020-10-01,"",2020-09-17,275,261,14,16,30,14,1,1,21.3452722063037,14.8333333333333,30.2333333333333,36.4851957
"128",1,1,"G_08","CAAN1",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"129",1,1,"G_09","STBR3",1,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,36.4851957
"130",1,1,"G_10","CAIN4",10,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,36.46572848
"131",1,1,"G_11","CAAN1",9,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"132",1,1,"G_12","CAAN2",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"133",1,1,"G_13","CAIN4",8,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,36.46572848
"134",1,1,"G_14","STIN",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.92210573
"135",1,1,"G_15","STTO-BH",13,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.4389966
"136",1,1,"G_16","STTO-BH",7,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.4389966
"137",1,1,"G_17","STBR3",12,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,36.4851957
"138",1,1,"G_18","CAIN3",1,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,30.61272267
"139",1,1,"G_19","STTO-BH",15,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.4389966
