Date.Time,mean.temp,sd.temp,Year
12/17/20,10.50980392,2.416650262,1
12/18/20,8.736519608,3.449504418,1
12/19/20,7.462009804,4.26478096,1
12/20/20,7.080882353,4.430969545,1
12/21/20,5.727941176,2.407401298,1
12/22/20,7.950980392,3.101485579,1
12/23/20,6.817401961,3.485014055,1
12/24/20,6.479166667,3.203603974,1
12/25/20,7.960784314,2.086503105,1
12/26/20,11.50735294,3.130054808,1
12/27/20,8.485294118,2.771791819,1
12/28/20,9.525735294,3.30102351,1
12/29/20,8.058375635,4.282682259,1
12/30/20,7.758333333,4.635149407,1
12/31/20,10.05277778,2.520388849,1
1/1/21,7.925,2.3799739,1
1/2/21,8.977777778,1.240924965,1
1/3/21,10.775,2.553208152,1
1/4/21,10.84027778,2.305718924,1
1/5/21,8.533333333,3.582532678,1
1/6/21,7.477777778,3.434756896,1
1/7/21,8.691666667,3.030152556,1
1/8/21,8.356944444,2.899372057,1
1/9/21,8.632478632,4.267180315,1
1/10/21,8.083333333,3.112859693,1
1/11/21,9.098958333,4.306801075,1
1/12/21,9.848958333,2.956525699,1
1/13/21,12.49826389,3.697748223,1
1/14/21,12.62673611,3.517068452,1
1/15/21,11.36979167,3.780505279,1
1/16/21,13.37673611,4.634319082,1
1/17/21,13.02951389,5.215896077,1
1/18/21,14.49826389,3.046245837,1
1/19/21,11.47569444,3.031386259,1
1/20/21,10.96180556,4.818330223,1
1/21/21,8.873263889,5.994226064,1
1/22/21,9.564236111,2.565559642,1
1/23/21,8.835069444,3.645872947,1
1/24/21,6.93956044,3.296473577,1
1/25/21,6.782407407,3.147736838,1
9/17/20,20.09166667,6.687183067,2
9/18/20,20.3,6.321697995,2
9/19/20,21.70833333,5.183029569,2
9/20/20,22.7875,5.17860113,2
9/21/20,22.4125,6.420379351,2
9/22/20,23.28333333,6.283141821,2
9/23/20,22.47916667,6.764774007,2
9/24/20,23.17083333,6.459796753,2
9/25/20,21.92916667,6.732367519,2
9/26/20,20.17083333,6.614694564,2
9/27/20,20.1125,6.802268066,2
9/28/20,18.75833333,4.93486283,2
9/29/20,19.70833333,6.413805794,2
9/30/20,20.15,7.285475363,2
10/1/20,19.6625,6.207938297,2
10/2/20,20.37083333,6.304092253,2
10/3/20,20.52083333,5.426512814,2
10/4/20,20.2125,5.644459803,2
10/5/20,19.58333333,5.414473807,2
10/6/20,17.9125,4.640279666,2
10/7/20,16.4,4.622560679,2
10/8/20,15.79583333,4.611137336,2
10/9/20,15.625,5.743191073,2
10/10/20,17.92916667,7.140044439,2
10/11/20,15.67083333,2.576147728,2
10/12/20,14.78333333,4.627163738,2
10/13/20,15.95416667,6.949093355,2
10/14/20,16.80416667,6.327642383,2
10/15/20,16.72916667,8.002598274,2
10/16/20,15.99583333,6.712742127,2
10/17/20,14.825,4.202665221,2
10/18/20,12.8125,4.565150462,2
10/19/20,12.43333333,5.542021797,2
10/20/20,14.79583333,2.255242104,2
10/21/20,17.275,3.061587714,2
10/22/20,17.39166667,2.895362369,2
10/23/20,14.725,2.501974011,2
10/24/20,13.6375,1.004114435,2
10/25/20,15.42916667,3.434437457,2
10/26/20,14.75416667,3.937001714,2
10/27/20,16.86666667,3.790042977,2
10/28/20,17.32083333,4.582482096,2
10/29/20,16.49583333,4.345622657,2
10/30/20,16.64583333,3.723870216,2
10/31/20,14.65833333,3.779079594,2
11/1/20,14.8,1.636505808,2
11/2/20,16.72083333,2.942584922,2
11/3/20,15.95,4.483583501,2
11/4/20,16.71138211,3.504100718,2
11/5/20,12.9625,3.750161061,2
11/6/20,13.30416667,2.259709055,2
11/7/20,10.664,3.523982351,2
11/8/20,11.05416667,4.194732508,2
11/9/20,12.6125,1.520811509,2
11/10/20,14.55833333,2.864725582,2
11/11/20,14.57083333,4.478846562,2
11/12/20,13.10833333,2.770783445,2
11/13/20,13.3125,2.691460586,2
11/14/20,12.23333333,0.997756587,2
11/15/20,12.69583333,1.190466036,2
11/16/20,13.30833333,2.617156817,2
11/17/20,11.2875,4.11528331,2
11/18/20,10.625,2.792735173,2
11/19/20,12.93333333,2.322644586,2
11/20/20,12.33333333,3.577669617,2
11/21/20,11.03333333,4.66784699,2
11/22/20,10.37083333,5.815979087,2
11/23/20,10.375,3.237938186,2
11/24/20,11.55,3.702940008,2
11/25/20,9.583333333,5.456217382,2
11/26/20,11.21666667,4.912568914,2
11/27/20,12.075,4.877770706,2
11/28/20,12.05416667,4.704189012,2
11/29/20,12.0875,4.798311371,2
11/30/20,11.55833333,3.860042742,2
12/1/20,12.1,4.841869213,2
12/2/20,12.10833333,5.191372664,2
12/3/20,10.76666667,4.545259481,2
12/4/20,9.591666667,1.995776353,2
12/5/20,9.8625,2.242599876,2
12/6/20,8.516666667,1.16303958,2
12/7/20,10.75,3.231931025,2
12/8/20,10.02083333,1.149343681,2
12/9/20,10.17083333,2.958747061,2
12/10/20,7.079166667,3.710645504,2
12/11/20,7.504166667,4.513981935,2
12/12/20,8.45,1.147521992,2
12/13/20,9.216666667,0.787863117,2
12/14/20,7.7875,3.388476827,2
12/15/20,7.020833333,2.661897214,2
12/16/20,7.716666667,2.043367353,2
12/17/20,6.354166667,4.003882482,2
12/18/20,4.558333333,1.98543365,2
12/19/20,6.1375,1.51041552,2
12/20/20,6.458333333,1.844345587,2
12/21/20,5.854166667,2.596374196,2
12/22/20,7.429166667,1.654248202,2
12/23/20,11.45833333,2.272028795,2
12/24/20,11.19583333,2.564541528,2
12/25/20,8.3375,1.355292303,2
12/26/20,6.404166667,1.63893775,2
12/27/20,8.225,2.811926879,2
