Species,Cohort,Year,Germination.Proportion
STGL,7,Year 2,0.5
STIN,1,Year 1,0.541666667
STIN,2,Year 1,0.416666667
STIN,3,Year 1,0.520833333
STIN,4,Year 1,0.270833333
STIN,5,Year 1,0.083333333
STIN,6,Year 1,0.291666667
STIN,7,Year 1,0.125
STIN,1,Year 2,0.020833333
STIN,2,Year 2,0
STIN,3,Year 2,0.041666667
STIN,4,Year 2,0.020833333
STIN,5,Year 2,0.104166667
STIN,6,Year 2,0
STIN,7,Year 2,0.083333333
STPO,1,Year 1,0.791666667
STPO,2,Year 1,0.833333333
STPO,3,Year 1,0.833333333
STPO,4,Year 1,0.791666667
STPO,5,Year 1,0.5625
STPO,6,Year 1,0.583333333
STPO,7,Year 1,0.583333333
STPO,1,Year 2,0
STPO,2,Year 2,0
STPO,3,Year 2,0
STPO,4,Year 2,0
STPO,5,Year 2,0.0625
STPO,6,Year 2,0.125
STPO,7,Year 2,0.083333333
STTO,1,Year 1,0.9375
STTO,2,Year 1,0.625
STTO,3,Year 1,1
STTO,4,Year 1,0.229166667
STTO,5,Year 1,0.708333333
STTO,6,Year 1,0.8125
STTO,7,Year 1,0.4375
STTO,1,Year 2,0
STTO,2,Year 2,0
STTO,3,Year 2,0
STTO,4,Year 2,0.041666667
STTO,5,Year 2,0.020833333
STTO,6,Year 2,0
STTO,7,Year 2,0.020833333
