"Date.Time","Unit","temp","cohort","block","hour","minute","Date"
2020-09-23 04:56:00,"C",14,1,1,4,56,2020-09-23
2020-09-23 05:56:00,"C",13.5,1,1,5,56,2020-09-23
2020-09-23 06:56:00,"C",13,1,1,6,56,2020-09-23
2020-09-23 07:56:00,"C",12.5,1,1,7,56,2020-09-23
2020-09-23 08:56:00,"C",14,1,1,8,56,2020-09-23
2020-09-23 09:56:00,"C",19,1,1,9,56,2020-09-23
2020-09-23 10:56:00,"C",23,1,1,10,56,2020-09-23
2020-09-23 11:56:00,"C",24,1,1,11,56,2020-09-23
2020-09-23 12:56:00,"C",28,1,1,12,56,2020-09-23
2020-09-23 13:56:00,"C",28,1,1,13,56,2020-09-23
2020-09-23 14:56:00,"C",29,1,1,14,56,2020-09-23
2020-09-23 15:56:00,"C",27.5,1,1,15,56,2020-09-23
2020-09-23 16:56:00,"C",28,1,1,16,56,2020-09-23
2020-09-23 17:56:00,"C",26,1,1,17,56,2020-09-23
2020-09-23 18:56:00,"C",24.5,1,1,18,56,2020-09-23
2020-09-23 19:56:00,"C",23,1,1,19,56,2020-09-23
2020-09-23 20:56:00,"C",21.5,1,1,20,56,2020-09-23
2020-09-23 21:56:00,"C",20,1,1,21,56,2020-09-23
2020-09-23 22:56:00,"C",19,1,1,22,56,2020-09-23
2020-09-23 23:56:00,"C",18,1,1,23,56,2020-09-23
2020-09-24 00:56:00,"C",17.5,1,1,0,56,2020-09-24
2020-09-24 01:56:00,"C",16.5,1,1,1,56,2020-09-24
2020-09-24 02:56:00,"C",16,1,1,2,56,2020-09-24
2020-09-24 03:56:00,"C",15.5,1,1,3,56,2020-09-24
2020-09-24 04:56:00,"C",15,1,1,4,56,2020-09-24
2020-09-24 05:56:00,"C",14.5,1,1,5,56,2020-09-24
2020-09-24 06:56:00,"C",14.5,1,1,6,56,2020-09-24
2020-09-24 07:56:00,"C",14.5,1,1,7,56,2020-09-24
2020-09-24 08:56:00,"C",16,1,1,8,56,2020-09-24
2020-09-24 09:56:00,"C",22,1,1,9,56,2020-09-24
2020-09-24 10:56:00,"C",25.5,1,1,10,56,2020-09-24
2020-09-24 11:56:00,"C",27,1,1,11,56,2020-09-24
2020-09-24 12:56:00,"C",30,1,1,12,56,2020-09-24
2020-09-24 13:56:00,"C",31,1,1,13,56,2020-09-24
2020-09-24 14:56:00,"C",30.5,1,1,14,56,2020-09-24
