"","Population","Cohort","Old.Block","Old.Replicate","New.Block","New.Position","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","water.date","RegermSep","Redays2germ","mean.Temp"
"37","CAIN3",7,2,9,4,"D_13",2021-09-22,"","2020-12-11",265,346,285,101,386,285,1,1,2021-09-15,7,7,22.2411458333333
"38","CAAN2",3,2,13,3,"D_14",2021-09-22,"","2020-10-16",265,290,341,45,386,341,1,1,2021-09-15,7,7,22.2411458333333
"39","CAAN2",1,1,12,11,"B_04",2021-09-22,"P","2020-09-17",265,261,370,16,386,370,1,1,2021-09-15,7,7,22.2411458333333
"40","STDI",6,2,15,12,"C_16",2021-09-22,"","2020-11-27",265,332,299,87,386,299,1,1,2021-09-15,7,7,22.2411458333333
"41","STTO-BH",4,2,11,12,"E_17",2021-09-22,"","2020-10-30",265,304,327,59,386,327,1,1,2021-09-15,7,7,22.2411458333333
"42","CAAN2",3,2,7,12,"G_09",2021-09-22,"","2020-10-16",265,290,341,45,386,341,1,1,2021-09-15,7,7,22.2411458333333
"43","CAAN2",2,2,15,12,"G_20",2021-09-22,"","2020-10-02",265,276,355,31,386,355,1,1,2021-09-15,7,7,22.2411458333333
"44","STDI",7,1,15,12,"H_10",2021-09-22,"","2020-12-11",265,346,285,101,386,285,1,1,2021-09-15,7,7,22.2411458333333
"45","CAIN4",4,1,2,12,"H_20",2021-09-22,"P 10/12/21","2020-10-30",265,304,327,59,386,327,1,1,2021-09-15,7,7,22.2411458333333
"46","STGL1",4,1,2,10,"D_08",2021-09-22,"P 10/7","2020-10-30",265,304,327,59,386,327,1,1,2021-09-15,7,7,22.2411458333333
"47","STIN",1,2,9,10,"E_12",2021-09-22,"","2020-09-17",265,261,370,16,386,370,1,1,2021-09-15,7,7,22.2411458333333
"48","CAAN1",5,2,10,10,"F_08",2021-09-22,"","2020-11-13",265,318,313,73,386,313,1,1,2021-09-15,7,7,22.2411458333333
"49","CAAN1",6,3,3,10,"F_20",2021-09-22,"","2020-11-27",265,332,299,87,386,299,1,1,2021-09-15,7,7,22.2411458333333
"50","CAAN2",5,3,8,8,"E_08",2021-09-23,"","2020-11-13",266,318,314,73,387,314,1,1,2021-09-15,8,8,22.2675925925926
"51","CAAN2",5,2,5,1,"B_10",2021-09-23,"P 10/12/21","2020-11-13",266,318,314,73,387,314,1,1,2021-09-15,8,8,22.2675925925926
"52","CAIN3",6,1,1,3,"J_18",2021-09-23,"","2020-11-27",266,332,300,87,387,300,1,1,2021-09-15,8,8,22.2675925925926
"53","CAAN2",6,1,8,11,"C_19",2021-09-23,"","2020-11-27",266,332,300,87,387,300,1,1,2021-09-15,8,8,22.2675925925926
"54","STTO-BH",7,3,2,10,"I_14",2021-09-23,"","2020-12-11",266,346,286,101,387,286,1,1,2021-09-15,8,8,22.2675925925926
"55","CAAN1",5,1,1,7,"C_12",2021-09-24,"pulled 4 fitness 2021-10-07","2020-11-13",267,318,315,73,388,315,1,1,2021-09-15,9,9,22.3579166666667
"56","CAAN1",5,2,2,7,"C_13",2021-09-24,"","2020-11-13",267,318,315,73,388,315,1,1,2021-09-15,9,9,22.3579166666667
"57","CAIN3",7,1,15,7,"D_14",2021-09-24,"pulled 4 fitness 2021-10-07","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
"58","STIN",5,1,14,7,"F_17",2021-09-24,"","2020-11-13",267,318,315,73,388,315,1,1,2021-09-15,9,9,22.3579166666667
"59","CAAN1",1,2,14,7,"F_18",2021-09-24,"","2020-09-17",267,261,372,16,388,372,1,1,2021-09-15,9,9,22.3579166666667
"60","STDI",1,1,1,7,"J_14",2021-09-24,"","2020-09-17",267,261,372,16,388,372,1,1,2021-09-15,9,9,22.3579166666667
"61","CAAN2",3,3,10,5,"D_06",2021-09-24,"","2020-10-16",267,290,343,45,388,343,1,1,2021-09-15,9,9,22.3579166666667
"62","CAAN1",7,3,1,5,"E_18",2021-09-24,"","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
